Strain,Year,E_ec,E_sc,E_bind
ABG67135,1996,123.66,26.21,149.87
ABG67157,1994,120.18,26.96,147.15
ABG67201,1995,118.75,26.96,145.71
ABG67212,1994,121.28,27.17,148.45
ABG67234,1994,119.16,27.17,146.33
ABG67667,1995,118.55,27.33,145.88
ABG79974,1994,118.71,26.96,145.67
ABG79996,1995,119.77,26.96,146.73
ABG80062,1995,119.3,27.33,146.63
ABG80073,1994,118.57,24.05,142.63
ABG80084,1994,117.57,27.29,144.85
ABG80095,1994,119.86,27.17,147.03
ABG80117,1994,120.01,27.17,147.18
ABG80128,1994,120.35,27.17,147.53
ABG80139,1994,119.85,27.17,147.02
ABG80150,1994,118.33,27.29,145.62
ABG80161,1994,118.33,27.17,145.5
ABG80359,1993,118.97,24.05,143.03
ABG80370,1993,121.26,28.39,149.65
ABG80381,1993,120.26,27.47,147.74
ABG80414,1993,120.26,27.47,147.74
ABG80436,2006,123.53,27.08,150.61
ABG88289,1996,122.82,26.21,149.03
ABG88355,1995,118.1,26.96,145.07
ABG88399,1995,119.5,27.33,146.83
ABG88421,1994,119.86,27.17,147.03
ABG88432,1994,119.85,27.17,147.03
ABG88454,1994,118.81,27.48,146.28
ABG88465,1994,119.86,27.17,147.03
ABG88520,1994,119.86,27.17,147.03
ABG88531,1994,121.19,25.2,146.4
ABG88729,1993,118.95,24.05,143
ABG88762,1993,119.01,24.05,143.07
ABG88773,1993,120.14,27.47,147.61
ABG88784,1993,120.26,27.47,147.74
ABG88817,2006,123.67,27.08,150.75
ABI20903,1994,119.19,26.96,146.16
ABI20914,1994,119.86,27.17,147.03
ABI20947,1994,119.86,27.17,147.03
ABI20958,1994,118.4,27.8,146.2
ABI21244,1993,121,27.47,148.47
ABI21288,1993,120.27,27.47,147.74
ABI21299,1993,119.88,27.47,147.36
ABI21321,1993,120.26,27.47,147.74
ABI21332,1993,118.73,27.47,146.21
ABI21354,1993,120.26,27.47,147.74
ABI21365,1993,120.26,27.47,147.74
ABI21376,1993,120.94,27.47,148.42
ABI21398,1993,120.26,27.47,147.74
ABI21420,1993,119.82,24.05,143.87
ABI21486,1993,120.26,27.47,147.74
ABI21508,2002,116.36,25.02,141.38
ABI30854,1993,121.42,28.55,149.96
ABI92291,1996,123.27,26.21,149.47
ABI92324,1994,118.71,27.17,145.89
ABJ09140,1993,120.92,27.17,148.09
ABK40656,1995,119.88,26.96,146.85
ABK40667,1995,118.78,27.33,146.11
ABM67029,2006,122.09,27.13,149.22
ABM67040,2006,123.67,27.08,150.75
ABN51010,2006,124.75,27.08,151.83
ABN51021,2006,124.54,27.08,151.62
ABN51032,2006,121.38,25.99,147.37
ABN51043,2006,121.22,27.13,148.35
ABN51054,2006,124.14,27.08,151.22
ABN51099,1968,115.63,21.79,137.43
ABN51121,1968,115.61,21.79,137.41
ABN51132,1969,115.75,21.79,137.54
ABO20953,2005,122.32,26.46,148.79
ABO20954,2005,122.73,24.22,146.95
ABO32860,2006,122.31,27.13,149.43
ABO32882,2006,124.21,27.23,151.44
ABO32937,2006,125.2,27.08,152.28
ABO33069,1978,112.73,25.59,138.32
ABO38230,1978,114.77,25.62,140.4
ABO38241,1986,118.29,25.92,144.21
ABO38274,2006,122.47,25.99,148.46
ABO38285,2006,124.03,27.04,151.07
ABO44068,1968,115.63,21.79,137.43
ABO52313,1975,115.29,25.27,140.56
ABO52324,1970,115.79,21.79,137.58
ABO52335,1974,112.46,24.74,137.19
ABO52346,1977,111.32,19.71,131.03
ABO52357,1968,115.22,21.79,137.01
ABP49184,1971,115.93,21.79,137.73
ABP49492,1976,113.01,19.71,132.72
ABQ01366,1976,112.22,19.71,131.93
ABR15797,1968,115.63,21.79,137.43
ABS49910,1970,115.79,21.79,137.58
ABU50557,2006,119.97,27.08,147.04
ABU50560,2007,119.73,27.13,146.86
ABU50577,2006,123.51,27.16,150.67
ABU50582,2007,121.45,27.08,148.53
ABU50584,2007,122.18,27.08,149.25
ABV29623,2007,121.15,27.08,148.22
ABV29722,2007,122.18,27.08,149.25
ABV29821,2007,122.18,27.08,149.25
ABV29909,2007,121.07,24.57,145.64
ABV30118,2007,122.18,27.08,149.25
ABV30239,2007,122.52,27.08,149.59
ABV30250,2007,119.97,27.08,147.04
ABV30261,2007,121.38,27.16,148.54
ABV30272,2007,120.78,27.08,147.85
ABV30404,2007,123.18,27.08,150.26
ABV30415,2007,121.38,27.16,148.54
ABV30437,2007,124.17,26.72,150.89
ABV30481,2007,121.51,27.16,148.67
ABV30635,2007,123.2,27.08,150.28
ABV45970,2007,121.49,27.08,148.56
ABV45981,2007,122.18,27.08,149.25
ABW23239,2006,124.72,27.08,151.8
ABW23242,2006,122.94,27.08,150.02
ABW23244,2007,122.94,27.08,150.02
ABW23245,2007,122.18,27.08,149.25
ABW23246,2007,122.18,27.08,149.25
ABW23248,2007,119.73,27.13,146.86
ABW23249,2007,119.73,27.13,146.86
ABW23251,2007,120.89,25.99,146.88
ABW23252,2007,122.18,27.08,149.26
ABW23253,2007,122.48,27.08,149.56
ABW23254,2007,118.55,26.47,145.01
ABW23255,2007,122.78,27.08,149.86
ABW23257,2007,122.45,27.08,149.53
ABW23258,2007,121.09,27.16,148.25
ABW23259,2007,121.38,27.16,148.54
ABW23260,2007,121.57,27.08,148.65
ABW23261,2007,121.58,27.08,148.66
ABW23262,2007,119.73,27.13,146.86
ABW23263,2007,121.61,27.16,148.76
ABW23266,2007,121.38,27.16,148.54
ABW23267,2007,122.05,27.08,149.13
ABW23269,2007,121.29,27.08,148.37
ABW23271,2007,122.19,25.12,147.31
ABW23330,2007,121.65,27.16,148.81
ABW23331,2007,124.8,27.08,151.88
ABW23332,2007,119.05,27.79,146.84
ABW23334,2007,120.14,27.08,147.21
ABW23344,2007,119,25.99,144.99
ABW23346,2007,121.27,27.08,148.35
ABW23347,2007,119.97,25.99,145.96
ABW23348,2007,122.06,27.04,149.11
ABW23349,2007,123.51,27.16,150.67
ABW23350,2007,120.86,27.08,147.94
ABW23351,2007,122.18,27.08,149.25
ABW23352,2007,117.85,26.2,144.06
ABW23354,2007,122.18,27.08,149.25
ABW23355,2007,121.57,27.08,148.65
ABW23356,2007,120.86,28.16,149.02
ABW23357,2007,122.18,27.08,149.25
ABW23358,2007,120.25,26.07,146.32
ABW23359,2007,122.45,27.08,149.53
ABW23361,2007,122.29,27.08,149.37
ABW23362,2007,120.79,27.13,147.92
ABW23364,2007,123.24,27.08,150.32
ABW23365,2007,119.73,27.13,146.86
ABW23366,2007,121.48,27.08,148.55
ABW23367,2007,117.59,27.13,144.72
ABW36168,2007,122.18,27.08,149.25
ABW38363,2007,123.67,27.08,150.75
ABW39938,2007,122.18,27.08,149.25
ABW40246,2007,123.05,27.08,150.13
ABW80975,2004,124.67,24.57,149.24
ABW80976,2001,118.26,26.02,144.28
ABW80978,2005,123.51,24.61,148.12
ABW86563,2007,122.18,27.08,149.25
ABW91196,2007,122.67,27.08,149.75
ABW91229,2007,123.18,27.08,150.26
ABW91251,2007,122.44,27.08,149.51
ABX10525,2003,123.84,24.27,148.11
ABY51127,2007,122.18,27.08,149.25
ABY51226,2007,121.57,27.08,148.65
ABY70956,2007,117.95,27.29,145.24
ACA24689,2007,121.65,27.16,148.81
ACA24700,2007,121.49,27.16,148.64
ACA33674,2007,119.1,24.57,143.67
ACA33679,2006,125.33,27.08,152.41
ACA33680,2007,122.55,27.08,149.62
ACA33681,2006,122.77,27.13,149.9
ACA33682,2007,122.48,27.23,149.71
ACA33683,2007,123.63,26.49,150.12
ACA33684,2007,121.65,27.16,148.81
ACA33685,2007,121.54,27.12,148.66
ACA33686,2007,122.18,27.08,149.25
ACA33689,2007,122.45,27.08,149.53
ACA33690,2007,121.28,27.08,148.36
ACA33691,2007,121.08,27.08,148.15
ACA33692,2007,121.57,27.08,148.65
ACA33694,2007,121.35,27.08,148.43
ACA33695,2007,124.63,27.08,151.71
ACA33696,2007,122.43,27.16,149.59
ACA33697,2007,119.14,27.13,146.27
ACA33698,2007,119.73,27.13,146.86
ACA33700,2007,122.18,27.08,149.25
ACA33707,2007,121.17,27.04,148.21
ACA33708,2007,122.98,27.08,150.06
ACA33709,2007,121.57,27.08,148.65
ACA33711,2007,123.18,27.08,150.26
ACA33716,2007,119.17,25.83,145
ACA33717,2007,121.59,25.99,147.58
ACA33718,2007,121.91,27.04,148.95
ACA33719,2007,119.28,25.99,145.28
ACA33720,2007,121.57,27.08,148.65
ACA33721,2007,119.56,25.99,145.55
ACA33745,2007,120.59,24.73,145.33
ACA33746,2007,120.58,20.36,140.94
ACA33749,2007,123.24,27.08,150.31
ACA33753,2007,124.15,27.08,151.22
ACA33757,2007,120.82,27.08,147.9
ACA33758,2007,120.26,27.13,147.38
ACA33759,2007,120.06,26.4,146.46
ACA33760,2007,122.25,27.16,149.41
ACA33761,2007,121.57,27.08,148.65
ACA33762,2007,122.75,27.08,149.83
ACA33763,2007,122.18,27.08,149.25
ACA33765,2007,119.12,27.13,146.25
ACA33766,2007,123.04,27.08,150.11
ACA33767,2007,122.18,27.08,149.25
ACA33768,2007,122.08,27.08,149.16
ACA33769,2007,122.35,27.08,149.43
ACB11766,2007,122.81,27.08,149.89
ACB11788,2007,123.54,27.08,150.61
ACB11797,2008,120.57,26.4,146.97
ACB11801,2007,122.18,27.08,149.25
ACB11803,2008,122.74,27.08,149.81
ACD47217,2008,122.08,27.08,149.16
ACD47218,2008,124.34,27.16,151.5
ACD47219,2008,122.16,27.16,149.32
ACD47221,2008,123.31,27.16,150.47
ACD47223,2008,120.85,27.16,148.01
ACD47224,2008,122.08,27.08,149.16
ACD47226,2008,123.78,27.16,150.94
ACD47228,2008,122.08,27.08,149.16
ACD85528,2007,122.98,28.09,151.08
ACD85539,2007,122.17,27.29,149.46
ACD85550,2007,122.18,27.08,149.25
ACD85572,2007,122.53,27.08,149.6
ACD85602,2008,121.57,27.08,148.65
ACD85604,2008,119.63,27.13,146.76
ACD85608,2008,122.08,27.08,149.16
ACD85610,2008,119.8,27.21,147.01
ACD85612,2008,122.98,27.08,150.05
ACD85614,2008,122.1,27.08,149.18
ACD85620,2008,122.25,27.16,149.41
ACD85624,2008,123.66,27.08,150.74
ACD85626,2008,123.14,27.08,150.22
ACD85628,2008,120.73,27.13,147.86
ACD85632,2008,119.79,25.99,145.79
ACD85638,2008,117.93,26.29,144.21
ACF10315,2008,122.25,27.16,149.41
ACF10317,2008,122.73,27.16,149.89
ACF10321,2008,120.26,27.13,147.39
ACF10325,2008,119.64,26.07,145.72
ACF10327,2008,121.97,27.04,149.01
ACF10331,2008,122.25,27.16,149.41
ACF22148,2003,122.98,23.88,146.86
ACF22159,2003,123.7,23.43,147.13
ACF40067,2008,119.52,27.09,146.61
ACF40069,2008,122.25,27.16,149.41
ACF40077,2008,122.08,27.08,149.16
ACF40080,2008,120.02,27.09,147.11
ACF40082,2008,121.89,27.08,148.97
ACF40086,2008,121.67,27.16,148.82
ACF40088,2008,122.71,27.08,149.79
ACF40090,2008,122.36,27.08,149.44
ACF40094,2008,121.93,27.16,149.09
ACF40100,2008,122.25,27.16,149.41
ACF40104,2008,122.08,27.08,149.16
ACF40106,2008,122.35,27.08,149.43
ACF40108,2007,121.76,24.61,146.37
ACF40110,2008,119.74,24.46,144.2
ACF41900,2004,126.31,25.8,152.11
ACF54532,2007,122.18,27.08,149.25
ACF54543,2007,122.07,27.08,149.15
ACH82075,2008,119.89,25.85,145.74
ACH82077,2008,119.43,27.26,146.69
ACI26351,2008,120.39,27.08,147.47
ACI26373,2008,120.39,27.08,147.47
ACI26395,2007,122.18,27.08,149.25
ACI26406,2007,122.97,27.08,150.05
ACI26483,2008,120.39,27.08,147.47
ACI26494,2008,121.85,27.08,148.93
ACI26505,2008,120.39,27.08,147.47
ACI26527,2008,120.39,27.08,147.47
ACI26538,2008,122.07,27.08,149.15
ACJ09818,2007,122.18,27.08,149.25
ACJ73748,2008,119.63,27.13,146.76
ACJ73750,2008,120.69,27.13,147.82
ACJ73752,2008,121.74,27.08,148.82
ACJ73757,2008,118.48,25.98,144.46
ACJ73760,2008,123.03,27.08,150.1
ACJ73762,2008,122.29,27.16,149.45
ACJ73764,2008,120.74,26.48,147.22
ACJ73768,2008,120.95,24.81,145.76
ACJ73773,2008,123.08,27.16,150.24
ACJ73775,2008,120.62,27.08,147.7
ACK76339,2008,121.05,27.08,148.13
ACK76349,2008,120.02,24.46,144.49
ACK76367,2008,119.99,27.13,147.12
ACL12173,2008,122.08,27.08,149.16
ACL12184,2008,122.08,27.08,149.16
ACL12217,2008,122.08,27.08,149.16
ACL12250,2008,122.25,27.16,149.41
ACM51216,2008,122.09,27.08,149.16
ACM51218,2008,123.79,27.08,150.87
ACM51221,2008,122.08,27.08,149.16
ACM51224,2008,121.67,27.16,148.82
ACM51225,2008,122.08,27.08,149.16
ACM51227,2008,121.99,27.08,149.07
ACM51229,2008,123.14,27.08,150.22
ACM51230,2008,120.43,24.5,144.93
ACM51232,2008,119.63,27.13,146.76
ACM51234,2008,122.08,27.08,149.16
ACM51238,2008,121.98,27.08,149.05
ACM51241,2008,118.12,26.47,144.59
ACM51243,2008,119.77,27.13,146.89
ACN32545,2007,122.66,27.08,149.74
ACN32914,2008,122.08,27.08,149.16
ACN32936,2008,120.18,27.16,147.34
ACN32958,2008,122.14,27.08,149.22
ACN32969,2008,121.93,27.16,149.09
ACN32980,2008,123.16,26.98,150.14
ACN33024,2008,122.08,27.08,149.16
ACN33035,2008,122.08,27.08,149.16
ACN33134,2008,122.25,27.16,149.41
ACN33167,2008,122.08,27.08,149.16
ACN33178,2008,122.25,27.16,149.41
ACN33200,2008,121.55,27.16,148.71
ACN33211,2008,122.08,27.08,149.16
